Film ,Major Studio,Rotten Tomatoes,Audience Score,Genre,Number of Theatres,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Imdb Rating,Release Date,Director,Poster
Rambo,Lionsgate,36,70,Action,2751,42.75,70.49,113.24,47.5,238.4100%,18.2,7.1,"Jan 25, 2008",Sylvester Stallone,http://ia.media-imdb.com/images/M/MV5BMTI5Mjg1MzM4NF5BMl5BanBnXkFtZTcwNTAyNzUzMw@@._V1_SX300.jpg
Meet the Spartans,Independent,2,31,Comedy,2605,38.23,46.41,84.65,30,282.1500%,18.51,2.7,"Jan 25, 2008",Jason Friedberg: Aaron Seltzer,http://ia.media-imdb.com/images/M/MV5BMjAxMDE3NDQwMF5BMl5BanBnXkFtZTcwMjA0MzU1MQ@@._V1_SX300.jpg
Untraceable,Independent,14,56,Thriller,2368,28.69,23.97,52.66,35,150.4500%,11.4,6.2,"Jan 25, 2008",Gregory Hoblit,http://ia.media-imdb.com/images/M/MV5BMTYyNTcwODYzMF5BMl5BanBnXkFtZTcwNjMwMzU1MQ@@._V1_SX300.jpg
The Eye,Lionsgate,22,51,Horror,2436,31.42,25.55,56.96,12,474.6900%,12.4,5.4,"Feb 1, 2008",David Moreau: Xavier Palud,http://ia.media-imdb.com/images/M/MV5BMTMyNjg3OTQyM15BMl5BanBnXkFtZTcwMjkyMzU1MQ@@._V1_SX300.jpg
Fool's Gold,Warner Bros.,11,53,Adventure,3125,70.23,41,111.23,72.5,153.4200%,21.6,5.6,"Feb 8, 2008",Andy Tennant,http://ia.media-imdb.com/images/M/MV5BMTg3NTQ2MDY4OF5BMl5BanBnXkFtZTcwOTAzMjU1MQ@@._V1_SX300.jpg
Welcome Home: Roscoe Jenkins,Universal,24,64,Comedy,2387,42.44,1.21,43.65,35,124.7100%,16.21,5.2,"Feb 8, 2008",Malcolm D. Lee,http://ia.media-imdb.com/images/M/MV5BNjIwODgyMDk5OF5BMl5BanBnXkFtZTYwMzQ5Nzc4._V1_SX300.jpg
Jumper,Fox,16,50,Action,3428,80.17,142.06,222.23,82.5,269.3700%,27.4,6.1,"Feb 14, 2008",Doug Liman,http://ia.media-imdb.com/images/M/MV5BMjEwOTkyOTI3M15BMl5BanBnXkFtZTcwNTQxMjU1MQ@@._V1_SX300.jpg
The Spiderwick Chronicles,Paramount,79,67,Fantasy,3847,71.2,91.64,162.84,92.5,176.0400%,19,6.6,"Feb 14, 2008",Mark Waters,http://ia.media-imdb.com/images/M/MV5BMTMzMDcyMzM2Ml5BMl5BanBnXkFtZTYwNzg1Nzc4._V1_SX300.jpg
Step Up 2: The Streets,Disney,26,81,Drama,2470,58.02,92.8,150.82,17.5,861.800%,18.91,6.2,"Feb 14, 2008",Jon M. Chu,http://ia.media-imdb.com/images/M/MV5BMTc0NzYxOTgxOF5BMl5BanBnXkFtZTcwMTgxMjc1MQ@@._V1_SX300.jpg
Definitely: Maybe,Universal,71,72,Comedy,2204,32.24,23.21,55.45,7,792.100%,9.76,7.2,"Feb 14, 2008",Adam Brooks,http://ia.media-imdb.com/images/M/MV5BMTc1Mzc1ODMxMF5BMl5BanBnXkFtZTcwNDY1MzU1MQ@@._V1_SX300.jpg
Vantage Point,Sony,35,61,Action,3149,72.27,78.9,151.16,40,377.900%,22.87,6.6,"Feb 22, 2008",Pete Travis,http://ia.media-imdb.com/images/M/MV5BMTg3MjQ5OTY4M15BMl5BanBnXkFtZTcwNjk1MDU1MQ@@._V1_SX300.jpg
Be Kind: Rewind,New Line,65,57,Comedy,808,11.18,19.4,30.58,20,152.8800%,4.05,6.4,"Feb 22, 2008",Michel Gondry,http://ia.media-imdb.com/images/M/MV5BMTU4MjY2MTU2MV5BMl5BanBnXkFtZTYwNjUzODc4._V1_SX300.jpg
Semi-Pro,Warner Bros.,21,41,Comedy,3121,33.48,10.41,43.88,2.6,"1,687.8500%",15.08,5.8,"Feb 29, 2008",Kent Alterman,http://ia.media-imdb.com/images/M/MV5BMTc1MjQ4NTc3M15BMl5BanBnXkFtZTcwMTc3NTg1MQ@@._V1_SX300.jpg
The Other Boleyn Girl,Independent,41,65,Drama,1166,26.81,50.9,77.71,40,194.2800%,8.2,6.7,"Feb 29, 2008",Justin Chadwick,http://ia.media-imdb.com/images/M/MV5BMTY2NzkyMzY1OF5BMl5BanBnXkFtZTcwMjk1MDU1MQ@@._V1_SX300.jpg
10:000 B.C.,Warner Bros.,9,44,Adventure,3410,94.78,175,269.78,105,256.9400%,35.9,6,"Mar 7, 2008",Willis H. O'Brien,NoData
College Road Trip,Buena Vista,13,56,Adventure,2706,45.61,5.94,51.55,140,36.8200%,13.6,4.2,"Mar 7, 2008",Roger Kumble,http://ia.media-imdb.com/images/M/MV5BMTc5NjM4Njg1NF5BMl5BanBnXkFtZTcwMDE2OTc1MQ@@._V1_SX300.jpg
The Bank Job,Independent,78,74,Thriller,1603,30.06,34.76,64.82,20,324.1100%,5.94,7.3,"Mar 7, 2008",Roger Donaldson,http://ia.media-imdb.com/images/M/MV5BMTUwMzc1MDMxOV5BMl5BanBnXkFtZTcwODY4OTIzMw@@._V1_SX300.jpg
Dr. Seuss' Horton Hears a Who!,Fox,79,75,Animation,3954,154.53,142.61,297.14,85,349.5700%,45,6.9,"Mar 14, 2008",Jimmy Hayward: Steve Martino,NoData
Never Back Down,Summit,23,37,Action,2729,24.85,16.78,41.63,21,198.2200%,8.6,6.6,"Mar 14, 2008",Jeff Wadlow,http://ia.media-imdb.com/images/M/MV5BMTkzNDg3MTIyMF5BMl5BanBnXkFtZTcwOTAwNDc1MQ@@._V1_SX300.jpg
Doomsday,Relativity Media,48,47,Action,1936,11.01,11.2,22.21,33,67.300%,4.9,6,"Mar 14, 2008",Neil Marshall,http://ia.media-imdb.com/images/M/MV5BMTUwODU2NzE2OF5BMl5BanBnXkFtZTcwMTAwMDA2MQ@@._V1_SX300.jpg
Tyler Perry's Meet the Browns,Independent,31,36,Drama,2006,41.98,0.02,41.98,20,209.8800%,20.08,3.9,"Mar 21, 2008",Tyler Perry,NoData
Drillbit Taylor,Paramount,26,49,Comedy,3056,32.86,16.83,49.69,40,124.2300%,10.3,5.7,"Mar 21, 2008",Steven Brill,http://ia.media-imdb.com/images/M/MV5BMTkxNzkwOTc3OF5BMl5BanBnXkFtZTcwMTc1MzU1MQ@@._V1_SX300.jpg
Shutter,Fox,7,40,Horror,2753,25.93,21.95,47.88,8,598.4800%,10.5,5.2,"Mar 21, 2008",Masayuki Ochiai,http://ia.media-imdb.com/images/M/MV5BMjA5OTMwNjY1M15BMl5BanBnXkFtZTcwOTg1MDg0MQ@@._V1_SX300.jpg
21,Sony,35,73,Crime,2648,81.16,76.77,157.93,35,451.2200%,24.1,6.8,"Mar 28, 2008",Robert Luketic,http://ia.media-imdb.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg
Superhero Movie,The Weinstein Company,15,36,Comedy,2960,25.88,45.36,71.24,65,109.600%,9.51,4.5,"Mar 28, 2008",Craig Mazin,http://ia.media-imdb.com/images/M/MV5BMTc0Njc1MTU5Nl5BMl5BanBnXkFtZTcwMjA4NDE2MQ@@._V1_SX300.jpg
Stop-Loss,Paramount,65,27,Drama,1291,10.92,0.29,11.21,25,44.8200%,4.56,6.5,"Mar 28, 2008",Kimberly Peirce,http://ia.media-imdb.com/images/M/MV5BMjAyNTI1NDg1MV5BMl5BanBnXkFtZTcwNzE2NTg1MQ@@._V1_SX300.jpg
Nim's Island,Independent,51,50,Adventure,3513,48.01,52.07,100.08,37,270.4700%,13.2,6,"Apr 4, 2008",Jennifer Flackett: Mark Levin,http://ia.media-imdb.com/images/M/MV5BMTA0OTk0NjIwMDleQTJeQWpwZ15BbWU3MDg3NjM0NTE@._V1_SX300.jpg
Leatherheads,Universal,52,41,Comedy,2769,31.37,9.93,41.3,58,71.200%,12.7,6,"Apr 4, 2008",George Clooney,http://ia.media-imdb.com/images/M/MV5BMjU1OTEyMzQxNV5BMl5BanBnXkFtZTcwMDU3NTg1MQ@@._V1_SX300.jpg
The Ruins,Paramount,46,32,Horror,2812,17.43,5.3,22.73,25,90.9100%,8,5.9,"Apr 4, 2008",Carter Smith,http://ia.media-imdb.com/images/M/MV5BMTcxNjc1NjkyOF5BMl5BanBnXkFtZTcwMzUwMjA2MQ@@._V1_SX300.jpg
Prom Night,Independent,8,46,Horror,2700,43.87,13.33,57.2,18,317.7600%,20.81,3.9,"Apr 11, 2008",Nelson McCormick,http://ia.media-imdb.com/images/M/MV5BMTI0NzcyMjAxOF5BMl5BanBnXkFtZTcwMjEwNDc1MQ@@._V1_SX300.jpg
Street Kings,Fox,37,62,Action,2467,26.42,39.15,65.57,20,327.8600%,12.5,6.8,"Apr 11, 2008",David Ayer,http://ia.media-imdb.com/images/M/MV5BMTkxMzE4ODM5MV5BMl5BanBnXkFtZTcwOTM4Mzk1MQ@@._V1_SX300.jpg
Forgetting Sarah Marshall,Independent,85,75,Comedy,2798,63.17,42,105.17,30,350.5700%,17.73,7.2,"Apr 18, 2008",Nicholas Stoller,http://ia.media-imdb.com/images/M/MV5BMTYzODgzMjAyM15BMl5BanBnXkFtZTcwMTI3NzI2MQ@@._V1_SX300.jpg
The Forbidden Kingdom,Relativity Media,64,65,Action,3151,52.08,75.9,127.98,55,232.6900%,21.4,6.6,"Apr 18, 2008",Rob Minkoff,http://ia.media-imdb.com/images/M/MV5BMTUwNTExMTg3NF5BMl5BanBnXkFtZTcwNDYyMTM2MQ@@._V1_SX300.jpg
88 Minutes,Sony,5,51,Drama,2168,17.21,15.38,32.59,30,108.6400%,7,5.9,"Apr 18, 2008",Jon Avnet,http://ia.media-imdb.com/images/M/MV5BMTgxOTg1NzgzMV5BMl5BanBnXkFtZTcwNTM3Mjc1MQ@@._V1_SX300.jpg
Baby Mama,Independent,63,59,Comedy,2543,60.49,3.67,64.16,70,91.6600%,17.41,6.1,"Apr 25, 2008",Michael McCullers,http://ia.media-imdb.com/images/M/MV5BMTYwNTc1Nzk1N15BMl5BanBnXkFtZTcwNjE4OTI2MQ@@._V1_SX300.jpg
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,Adventure,2510,38.11,5.38,43.49,12,362.4300%,14.91,6.7,"Apr 25, 2008",Jon Hurwitz: Hayden Schlossberg,NoData
Iron Man,Paramount,94,91,Action,4105,318.76,266.76,585.52,186,314.800%,98.62,7.9,"May 2, 2008",Jon Favreau,http://ia.media-imdb.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg
Made of Honor,Sony,13,61,Comedy,2729,46.01,59.95,105.96,40,264.9100%,14.76,5.8,"May 2, 2008",Paul Weiland,http://ia.media-imdb.com/images/M/MV5BMTk1MzA5MjEzMF5BMl5BanBnXkFtZTcwNTk0MjU1MQ@@._V1_SX300.jpg
What Happens in Vegas,Fox,28,72,Comedy,3215,80.28,139.1,219.38,35,626.7900%,20.17,6.1,"May 9, 2008",Tom Vaughan,http://ia.media-imdb.com/images/M/MV5BMTIxNzMwOTU3OF5BMl5BanBnXkFtZTcwMzk0NTM2MQ@@._V1_SX300.jpg
Speed Racer,Warner Bros.,38,61,Action,3606,43.95,50,93.95,120,78.2900%,18.6,6.1,"May 9, 2008",Andy Wachowski: Lana Wachowski,http://ia.media-imdb.com/images/M/MV5BMTA5MjgxMDE4OTVeQTJeQWpwZ15BbWU3MDgyNjc4NjE@._V1_SX300.jpg
The Chronicles of Narnia: Prince Caspian,Disney,66,78,Action,3929,141.62,278.04,419.67,200,209.8300%,55.03,6.6,"May 16, 2008",Andrew Adamson,http://ia.media-imdb.com/images/M/MV5BMTIwOTA4NTE4Ml5BMl5BanBnXkFtZTcwOTI2NTg1MQ@@._V1_SX300.jpg
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,77,59,Action,4260,317.1,469.53,786.64,185,425.2100%,100.1,6.2,"May 22, 2008",Steven Spielberg,http://ia.media-imdb.com/images/M/MV5BMTIxNDUxNzcyMl5BMl5BanBnXkFtZTcwNTgwOTI3MQ@@._V1_SX300.jpg
Sex and the City,Warner Bros.,49,81,Comedy,3285,152.65,262.61,415.25,57.5,722.1800%,57.04,5.4,"May 30, 2008",Michael Patrick King,http://ia.media-imdb.com/images/M/MV5BMTYyMzYxMjM3OF5BMl5BanBnXkFtZTcwNjg2OTA3MQ@@._V1_SX300.jpg
The Strangers,Relativity Media,44,48,Horror,2466,52.6,29.79,82.39,9,915.4400%,20.99,6.2,"May 30, 2008",Bryan Bertino,http://ia.media-imdb.com/images/M/MV5BMTkxODAyODMwNV5BMl5BanBnXkFtZTcwNzk5Nzk2MQ@@._V1_SX300.jpg
Kung Fu Panda,Paramount,88,83,Animation,4114,215.43,416.31,631.74,200,315.8700%,60.24,7.6,"Jun 6, 2008",Mark Osborne: John Stevenson,http://ia.media-imdb.com/images/M/MV5BMTIxOTY1NjUyN15BMl5BanBnXkFtZTcwMjMxMDk1MQ@@._V1_SX300.jpg
You Don't Mess with the Zohan,Sony,36,50,Comedy,3462,100.02,99.92,199.94,80,249.9200%,38.53,5.5,"Jun 6, 2008",Dennis Dugan,http://ia.media-imdb.com/images/M/MV5BMzE2MzEzNDc5M15BMl5BanBnXkFtZTcwMzYxOTA3MQ@@._V1_SX300.jpg
The Incredible Hulk,Universal,67,75,Action,3505,134.81,128.62,263.43,137.5,191.5800%,55.14,6.9,"Jun 13, 2008",Louis Leterrier,http://ia.media-imdb.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_SX300.jpg
The Happening,Fox,19,29,Thriller,2986,64.51,98.9,163.4,48,340.4200%,30.52,5.1,"Jun 13, 2008",M. Night Shyamalan,http://ia.media-imdb.com/images/M/MV5BMTc2MjcwNjI0MF5BMl5BanBnXkFtZTcwMjM4NjM3MQ@@._V1_SX300.jpg
Get Smart,Warner Bros.,51,73,Action,3911,130.32,100.37,230.69,80,288.3600%,38.7,6.5,"Jun 20, 2008",Peter Segal,http://ia.media-imdb.com/images/M/MV5BMjAzOTM1MzE0OF5BMl5BanBnXkFtZTYwNDE0Nzc4._V1_SX300.jpg
The Love Guru,Paramount,14,38,Comedy,3012,32.24,8.63,40.86,62,65.9100%,13.91,3.8,"Jun 20, 2008",Marco Schnabel,http://ia.media-imdb.com/images/M/MV5BMTg3OTY1MTQ3MF5BMl5BanBnXkFtZTcwMDIzMTM3MQ@@._V1_SX300.jpg
WALL-E,Disney,96,89,Animation,3992,223.81,297.5,521.31,180,289.6200%,63.09,8.4,"Jun 27, 2008",Andrew Stanton,http://ia.media-imdb.com/images/M/MV5BMTczOTA3MzY2N15BMl5BanBnXkFtZTcwOTYwNjE2MQ@@._V1_SX300.jpg
Wanted,Universal,73,72,Action,3175,134.51,206.92,341.43,75,455.2400%,50.93,6.7,"Jun 27, 2008",Timur Bekmambetov,http://ia.media-imdb.com/images/M/MV5BMTQwNDM2MTMwMl5BMl5BanBnXkFtZTgwMjE4NjQxMTE@._V1_SX300.jpg
Hancock,Sony,40,67,Action,3965,227.95,396.44,624.39,150,416.2600%,62.6,6.5,"Jul 2, 2008",Peter Berg,http://ia.media-imdb.com/images/M/MV5BMTgyMzc4ODU3NV5BMl5BanBnXkFtZTcwNjk5Mzc1MQ@@._V1_SX300.jpg
Journey to the Center of the Earth,Warner Bros.,61,55,Action,2811,101.7,140.29,241.99,45,537.7600%,21,5.8,"Jul 11, 2008",Eric Brevig,http://ia.media-imdb.com/images/M/MV5BMTk1MzY1MzU1MF5BMl5BanBnXkFtZTcwOTQ2NjM3MQ@@._V1_SX300.jpg
Hellboy II: The Golden Army,Universal,87,70,Action,3204,75.99,84.4,160.39,82.5,194.4100%,34.5,7,"Jul 11, 2008",Guillermo del Toro,http://ia.media-imdb.com/images/M/MV5BMjA5NzgyMjc2Nl5BMl5BanBnXkFtZTcwOTU3MDI3MQ@@._V1_SX300.jpg
Meet Dave,Fox,19,42,Adventure,3011,11.8,38.85,50.65,60,84.4200%,5.25,4.9,"Jul 11, 2008",Brian Robbins,http://ia.media-imdb.com/images/M/MV5BMjExMjIzODc0M15BMl5BanBnXkFtZTcwMTk0MjQ2MQ@@._V1_SX300.jpg
The Dark Knight,Warner Bros.,94,96,Thriller,4366,534.86,469.7,01:04.56,185,543.00%,158.4,9,"Jul 18, 2008",Christopher Nolan,http://ia.media-imdb.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg
Mamma Mia!,Universal,53,76,Comedy,2976,144.13,465.71,609.84,66,924.00%,27.75,6.4,"Jul 18, 2008",Phyllida Lloyd,http://ia.media-imdb.com/images/M/MV5BMTA2MDU0MjM0MzReQTJeQWpwZ15BbWU3MDYwNzgwNzE@._V1_SX300.jpg
Space Chimps,Independent,36,37,Animation,2511,30.11,34.73,64.83,37,175.2200%,7.18,4.5,"Jul 18, 2008",Kirk De Micco,http://ia.media-imdb.com/images/M/MV5BNDU0MDY1OTQzOV5BMl5BanBnXkFtZTcwNzQ3ODI3MQ@@._V1_SX300.jpg
Step Brothers,Sony,54,68,Comedy,3094,100.47,27.64,128.11,65,197.0900%,30.94,6.9,"Jul 25, 2008",Adam McKay,http://ia.media-imdb.com/images/M/MV5BMTcwNzUzMjU1OV5BMl5BanBnXkFtZTcwMTM0NDQ2MQ@@._V1_SX300.jpg
The X-Files: I Want to Believe,Fox,32,34,Thriller,3185,20.98,47.39,68.37,35,195.3400%,10.1,5.9,"Jul 25, 2008",Chris Carter,http://ia.media-imdb.com/images/M/MV5BMjE0NjcxMDA1NV5BMl5BanBnXkFtZTcwMTAyMDU2MQ@@._V1_SX300.jpg
The Mummy: Tomb of the Dragon Emperor,Universal,14,40,Action,3760,102.49,298.64,401.13,145,276.6400%,40.5,5.2,"Aug 1, 2008",Rob Cohen,http://ia.media-imdb.com/images/M/MV5BMTU4NDIzMDY1OV5BMl5BanBnXkFtZTcwNjQxMzk3MQ@@._V1_SX300.jpg
Swing Vote,Disney,36,44,Comedy,2213,16.29,1.34,17.63,20,88.1700%,6.23,6.1,"Aug 1, 2008",Joshua Michael Stern,http://ia.media-imdb.com/images/M/MV5BMjAwMTQyNzkwNV5BMl5BanBnXkFtZTcwNTgyMzE3MQ@@._V1_SX300.jpg
Pineapple Express,Sony,68,74,Action,3072,87.34,14.28,101.62,26,390.8600%,23.2,7,"Aug 6, 2008",David Gordon Green,http://ia.media-imdb.com/images/M/MV5BMTY1MTE4NzAwM15BMl5BanBnXkFtZTcwNzg3Mjg2MQ@@._V1_SX300.jpg
The Sisterhood of the Traveling Pants 2,Warner Bros.,65,67,Comedy,2707,44.09,0.26,44.35,27,164.2600%,10.68,6.2,"Aug 6, 2008",Sanaa Hamri,http://ia.media-imdb.com/images/M/MV5BMTMwNDYyMTY5Nl5BMl5BanBnXkFtZTcwNzAwMjY2MQ@@._V1_SX300.jpg
Tropic Thunder,Paramount,83,69,Comedy,3319,110.52,77.56,188.07,90,208.9700%,25.81,7,"Aug 13, 2008",Ben Stiller,http://ia.media-imdb.com/images/M/MV5BNDE5NjQzMDkzOF5BMl5BanBnXkFtZTcwODI3ODI3MQ@@._V1_SX300.jpg
Star Wars: The Clone Wars,Independent,19,46,Animation,3452,35.16,33.12,68.28,8.5,803.3200%,14.6,5.8,"Aug 15, 2008",Dave Filoni,http://ia.media-imdb.com/images/M/MV5BMTI1MDIwMTczOV5BMl5BanBnXkFtZTcwNTI4MDE3MQ@@._V1_SX300.jpg
Mirrors,Independent,14,49,Horror,2664,30.69,46.8,77.49,35,221.3900%,11.2,6.2,"Aug 15, 2008",Alexandre Aja,http://ia.media-imdb.com/images/M/MV5BMTI2NTA1ODEyOF5BMl5BanBnXkFtZTcwNjc3MjY3MQ@@._V1_SX300.jpg
Vicky Cristina Barcelona,The Weinstein Company,82,73,Romance,692,23.22,73.19,96.41,16,602.5500%,3.76,7.2,"Aug 15, 2008",Woody Allen,http://ia.media-imdb.com/images/M/MV5BMTU2NDQ4MTg2MV5BMl5BanBnXkFtZTcwNDUzNjU3MQ@@._V1_SX300.jpg
Miss Pettigrew Lives for a Day,Independent,78,70,Comedy,535,12.31,4.41,16.72,60,27.8700%,2.49,7.1,"Aug 15, 2008",Bharat Nalluri,http://ia.media-imdb.com/images/M/MV5BMTI3NDcyMzcxNl5BMl5BanBnXkFtZTcwMTA0MzU1MQ@@._V1_SX300.jpg
The House Bunny,Sony,39,54,Comedy,2714,48.24,22.21,70.44,25,281.7700%,14.53,5.5,"Aug 22, 2008",Fred Wolf,http://ia.media-imdb.com/images/M/MV5BODkxMDg0MjM2OF5BMl5BanBnXkFtZTcwMjc0NTU4MQ@@._V1_SX300.jpg
Death Race,Universal,42,69,Action,2532,36.32,39.36,75.68,45,168.1700%,12.62,6.4,"Aug 22, 2008",Paul W.S. Anderson,http://ia.media-imdb.com/images/M/MV5BMTkwMDU1ODg5Ml5BMl5BanBnXkFtZTcwNjMzNjY3MQ@@._V1_SX300.jpg
The Longshots,Independent,39,39,Comedy,2089,11.54,0.23,11.77,30,39.2200%,4,5,"Aug 22, 2008",Fred Durst,http://ia.media-imdb.com/images/M/MV5BMjA5NDMwODQ3MF5BMl5BanBnXkFtZTcwNTA1NDc4MQ@@._V1_SX300.jpg
Traitor,Liberty Starz,55,66,Thriller,2054,23.53,4.13,27.66,22,125.7400%,7.9,7,"Aug 27, 2008",Jeffrey Nachmanoff,http://ia.media-imdb.com/images/M/MV5BMTg3MzI3NDY5Nl5BMl5BanBnXkFtZTcwMzI0NDY3MQ@@._V1_SX300.jpg
Babylon A.D.,Fox,7,32,Action,3390,22.53,49.58,72.11,45,160.2400%,9.5,5.6,"Aug 29, 2008",Mathieu Kassovitz,http://ia.media-imdb.com/images/M/MV5BMTk5MzQxMzk0Nl5BMl5BanBnXkFtZTcwOTM3NDA3MQ@@._V1_SX300.jpg
Disaster Movie,Lionsgate,2,28,Comedy,2642,14.19,20.63,34.82,20,174.0800%,5.8,1.9,"Aug 29, 2008",Jason Friedberg: Aaron Seltzer,http://ia.media-imdb.com/images/M/MV5BMTIzMDQyNDgwNl5BMl5BanBnXkFtZTcwMDA0MTc3MQ@@._V1_SX300.jpg
Bangkok Dangerous,Lionsgate,9,33,Action,2650,15.3,27.19,42.49,45,94.4200%,7.8,5.4,"Sep 5, 2008",Oxide Pang Chun: Danny Pang,http://ia.media-imdb.com/images/M/MV5BMTk2NjU4MDYwNV5BMl5BanBnXkFtZTcwMDQ5ODg3MQ@@._V1_SX300.jpg
Burn After Reading,Relativity Media,78,64,Comedy,2651,60.36,103.36,163.72,37,442.4800%,19.13,7,"Sep 12, 2008",Ethan Coen: Joel Coen,http://ia.media-imdb.com/images/M/MV5BMTczNjQxODE0N15BMl5BanBnXkFtZTcwMzIxMjc3MQ@@._V1_SX300.jpg
Righteous Kill,Overture,19,44,Crime,3152,40.08,38.38,78.46,60,130.7700%,16.3,6,"Sep 12, 2008",Jon Avnet,http://ia.media-imdb.com/images/M/MV5BMTYwMjg3MjY3OV5BMl5BanBnXkFtZTcwNTc4MDU3MQ@@._V1_SX300.jpg
Tyler Perry's The Family That Preys,Independent,51,36,Drama,2070,37.11,0.02,37.11,10,371.0500%,17.38,5.2,"Sep 12, 2008",Tyler Perry,NoData
The Women,Warner Bros.,13,41,Drama,2962,26.9,23.11,50.01,16,312.5400%,10.12,4.9,"Sep 12, 2008",Diane English,http://ia.media-imdb.com/images/M/MV5BMjIwNjg2MTk1MV5BMl5BanBnXkFtZTcwODQxMzk3MQ@@._V1_SX300.jpg
Lakeview Terrace,Sony,46,44,Crime,2464,39.26,5.39,44.65,20,223.2700%,15,6.2,"Sep 19, 2008",Neil LaBute,http://ia.media-imdb.com/images/M/MV5BMTI0MzI0NDI4Ml5BMl5BanBnXkFtZTcwOTk4ODk3MQ@@._V1_SX300.jpg
My Best Friend's Girl,Lionsgate,14,51,Comedy,2604,19.22,22.4,41.62,20,208.1100%,8.27,5.9,"Sep 19, 2008",Howard Deutch,http://ia.media-imdb.com/images/M/MV5BMTg4MDg5NjE3Nl5BMl5BanBnXkFtZTcwNzc4ODQ3MQ@@._V1_SX300.jpg
Ghost Town,Paramount,85,60,Comedy,1505,13.37,13.71,27.07,20,135.3700%,5.01,6.7,"Sep 19, 2008",David Koepp,http://ia.media-imdb.com/images/M/MV5BMTQyODQ4MzYxN15BMl5BanBnXkFtZTcwOTQ1MDczMw@@._V1_SX300.jpg
Eagle Eye,Paramount,27,72,Action,3510,101.44,76.63,178.07,80,222.5800%,29.2,6.6,"Sep 26, 2008",D.J. Caruso,http://ia.media-imdb.com/images/M/MV5BMjA5MTMzMDMzNl5BMl5BanBnXkFtZTcwMzUwNDUzMw@@._V1_SX300.jpg
Nights in Rodanthe,Warner Bros.,31,56,Drama,2704,41.85,42.52,84.37,30,281.2500%,13.42,5.9,"Sep 26, 2008",George C. Wolfe,http://ia.media-imdb.com/images/M/MV5BMTI2MDA0MTI0Ml5BMl5BanBnXkFtZTcwMDkzNDMwMg@@._V1_SX300.jpg
Fireproof,Independent,40,51,Drama,839,33.46,0.02,33.47,0.5,"6,694.400%",6.84,6.5,"Sep 26, 2008",Alex Kendrick,http://ia.media-imdb.com/images/M/MV5BMTYyMTI0OTkwNF5BMl5BanBnXkFtZTcwMTgzNjQ4MQ@@._V1_SX300.jpg
Miracle at St. Anna,Disney,34,68,Action,1185,7.92,1.4,9.32,45,20.7200%,3.5,6,"Sep 26, 2008",Spike Lee,http://ia.media-imdb.com/images/M/MV5BMTIyNjIwOTI1MF5BMl5BanBnXkFtZTcwMTQ1NTU3MQ@@._V1_SX300.jpg
Beverly Hills Chihuahua,Disney,41,56,Adventure,3215,94.51,54.77,149.28,20,746.4100%,29.3,3.7,"Oct 3, 2008",Raja Gosnell,http://ia.media-imdb.com/images/M/MV5BMTI2NzUxNjEzMl5BMl5BanBnXkFtZTcwOTMyNjM4MQ@@._V1_SX300.jpg
Nick and Norah's Infinite Playlist,Sony,73,67,Comedy,2421,31.49,2.02,33.51,10,335.0500%,11.31,6.7,"Oct 3, 2008",Peter Sollett,http://ia.media-imdb.com/images/M/MV5BOTY2MjI4ODI4Nl5BMl5BanBnXkFtZTcwNTMyNjM4MQ@@._V1_SX300.jpg
Appaloosa,Warner Bros.,77,55,Action,1045,20.21,7.45,27.67,20,138.3300%,5,6.8,"Oct 3, 2008",Ed Harris,http://ia.media-imdb.com/images/M/MV5BMTMxMDE5NDIxM15BMl5BanBnXkFtZTcwNjI0MjQ4MQ@@._V1_SX300.jpg
Religulous,Lionsgate,70,78,Documentary,502,13.01,0.63,13.64,2.5,545.5200%,3.41,7.7,"Oct 3, 2008",Larry Charles,http://ia.media-imdb.com/images/M/MV5BMTIxMDcxMTA3M15BMl5BanBnXkFtZTcwNzk5NzU2MQ@@._V1_SX300.jpg
Body of Lies,Warner Bros.,53,65,Action,2710,39.39,75.7,115.1,67.5,170.5100%,12.9,7.1,"Oct 10, 2008",Ridley Scott,http://ia.media-imdb.com/images/M/MV5BMTgzOTY3MTM0OV5BMl5BanBnXkFtZTcwNjc5MTI5MQ@@._V1_SX300.jpg
Quarantine,Sony,59,46,Horror,2461,31.69,9.63,41.32,12,344.3300%,14.2,6,"Oct 10, 2008",John Erick Dowdle,http://ia.media-imdb.com/images/M/MV5BMjY0MDgwNTQ4OF5BMl5BanBnXkFtZTcwMzQzNjY3MQ@@._V1_SX300.jpg
